Number of neighbors,UserKNN,ItemKNN
50,0.78993290044,0.85805108759
100,0.90516637166,0.92673684329
150,0.93955454806,0.95298033031
200,0.95476887385,0.96490967343
250,0.96494315531,0.97327692167
300,0.97183048462,0.97871543048
350,0.97655848595,0.98336707884
400,0.98045135054,0.98697466047
450,0.98313171911,0.98922733357
500,0.98532245875,0.99084591288
550,0.98710035114,0.99195027276
600,0.98862490207,0.992740707
650,0.99007774127,0.99394747481
700,0.99099333339,0.99485245584
750,0.99211733316,0.9956554739
800,0.99255928397,0.99636846617
850,0.99309636403,0.99703220225
900,0.9938611663,0.99725320802
