Number of neighbors,UserKNN,ItemKNN
50,1.20585158631,0.90414997038
100,1.1659430675,0.90978120255
150,1.1449474468,0.91343820041
200,1.13023035709,0.91750107227
250,1.12042672156,0.92049064215
300,1.11350299698,0.92397786941
350,1.1069745716,0.9273778187
400,1.10185232857,0.92958216732
450,1.09898725908,0.93254907602
500,1.09575835064,0.93508261524
550,1.09492833971,0.9365508395
600,1.09334819646,0.93801029072
650,1.09243895739,0.93912875932
700,1.09099791217,0.94005607232
750,1.08949471009,0.94113187019
800,1.08816852001,0.94241174221
850,1.08775893663,0.94323509167
900,1.08655525959,0.94514890092
950,1.08650917252,0.94626549984
1000,1.08531799878,0.94712346079
1050,1.08546925222,0.94809476126
1100,1.08479908344,0.9489974504
1150,1.08457460076,0.94954786076
1200,1.0845874546,0.95051904568
1250,1.08474917649,0.95113766556
